siTimeStamp,x,y,character typing,sentence
2548.4591855,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.4757861,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.4924273,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.509119,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.525786,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.5424613,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.5591225,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.5758031,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.592344,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.6090773,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.6258116,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.6424217,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.659102,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.6757614,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.692278,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.7091065,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.7257607,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.74238,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.7590836,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.7757261,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.7923298,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.8090343,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.8256721,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.8423323,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.859016,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.8756911,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.8923185,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.9090505,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.925693,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.9423582,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.9590093,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.9756281,-1,-1,EMPTY_ET_STREAM,MainMenu
2548.9922286,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.0089956,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.0256983,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.0423209,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.0590409,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.0756103,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.0921417,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.1091332,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.125635,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.142265,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.158896,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.1755821,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.1921855,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.2089227,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.2256251,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.2422698,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.2588962,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.2755574,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.2920228,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.308853,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.3255095,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.3422037,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.3589685,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.3755013,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.3921527,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.4088295,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.4254709,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.4421808,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.4588812,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.4754538,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.4920187,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.5088632,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.5254873,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.5420644,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.5588016,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.5754303,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.5920604,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.6087313,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.6254576,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.6421308,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.6588328,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.675427,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.6920197,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.7086931,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.7253203,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.7420744,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.7587002,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.7754257,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.7919242,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.8088029,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.8254017,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.8420024,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.8586621,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.8753847,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.8919687,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.9086894,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.9253358,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.9420648,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.9590094,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.9752956,-1,-1,EMPTY_ET_STREAM,MainMenu
2549.9919381,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0085999,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0253199,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0419526,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0586659,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0752736,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0918376,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1086054,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1252717,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1419267,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1585641,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1752106,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1917418,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2085324,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2252372,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2418682,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2586488,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2752737,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.29177,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3085595,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3252672,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3427633,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3595247,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3751982,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3917868,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4085167,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4252235,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4418852,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4585033,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4751031,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4917582,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5084665,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5251693,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5417691,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5585606,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5751512,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5916211,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6084281,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6251318,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6417663,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6584746,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6751073,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6917092,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7084535,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7265737,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7427027,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7592908,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7750315,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7916671,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8084061,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8250895,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8417477,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8584158,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8760804,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8916591,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9083897,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9250192,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9416567,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9583689,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9749751,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9919342,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0083639,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0250282,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0416059,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0582678,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0748758,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0915384,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1082568,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1249109,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.141549,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1583534,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1749201,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1914053,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2082467,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2249275,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2415122,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2581974,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.275215,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.291468,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3082226,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.324885,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3418331,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.35813,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3748956,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3914146,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4082253,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4248176,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4415368,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4581932,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4748338,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.491311,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5081196,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5248804,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.541408,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5581937,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5748057,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5913741,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.608163,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.624851,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.6414886,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.6580481,-1,-1,EMPTY_ET_STREAM,MainMenu
