Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,timestamp
-0.4522011139085981,-0.4604409857328141,0.1021591515983829,-0.6336308842603185,-0.3591210803387499,-0.5301747158007167,-0.4874494544899668,-0.4087129015030132,-0.3548485542076749,-0.3238727397573812,-0.4076447699702445,-0.5074387731746391,-0.4581521324483096,-0.1938658731975276,-0.2437628747997249,-0.3778896772716865,-0.4924849317158766,-0.3957427328908213,-0.3156328679331651,-0.1187914854657812,-0.3229571984435794,-0.4068818188754097,-0.5107957579919123,-0.4094758525978481,-0.4166475928892954,-0.4171053635461963,-0.3304341191729606,-0.4505226214999615,-0.3954375524528873,-0.1100938429846642,-0.4776836804760811,0.033798733501183,90.359375
-0.4840924696726936,-0.4923323414969097,0.0698100251773865,-0.6652170595864801,-0.3910124361028454,-0.5619134813458453,-0.5191882200350953,-0.4406042572671088,-0.3775844968337525,-0.3398947127489124,-0.439383535515373,-0.5391775387197677,-0.4900434882124052,-0.2259098191805901,-0.2758068207827874,-0.409781033035782,-0.5242236972610053,-0.4276340886549168,-0.3476768139162275,-0.1509880216678106,-0.3548485542076749,-0.4387731746395052,-0.5425345235370409,-0.4412146181429766,-0.4485389486533909,-0.4489967193102918,-0.3623254749370561,-0.482413977264057,-0.4273289082169829,-0.1421377889677267,-0.4685282673380632,0.0666056305790803,90.3671875
-0.5158312352178221,-0.5240711070420382,0.0374608987563901,-0.6968032349126417,-0.4229037918669409,-0.5936522468909738,-0.5509269855802239,-0.4723430228122373,-0.4094758525978481,-0.3719386587319749,-0.4712748912794686,-0.5709163042648963,-0.5217822537575338,-0.2579537651636526,-0.3078507667658499,-0.4416723887998775,-0.5559624628061338,-0.4595254444190123,-0.3795681696803231,-0.1830319676508731,-0.3867399099717704,-0.4706645304036007,-0.5742732890821695,-0.4731059739070721,-0.4802777141985195,-0.4808880750743873,-0.3942168307011516,-0.5141527428091855,-0.4590676737621114,-0.1743343251697562,-0.5004196231021588,0.0342565041580839,90.375
-0.5245288776989392,-0.533836881055924,0.0702677958342874,-0.6966506446936748,-0.4460975051499195,-0.6084534981307694,-0.5555046921492328,-0.4790569924467838,-0.4346532387273972,-0.3936064698252838,-0.4636453803311204,-0.5646601052872507,-0.5089646753643088,-0.2362859540703437,-0.2747386892500187,-0.4155794613565267,-0.5538261997405963,-0.4386205844205382,-0.3704127565423052,-0.1859311818112455,-0.3875028610666052,-0.4670023651483936,-0.5701533531700614,-0.4665445944914927,-0.4854657816433962,-0.4900434882124052,-0.3830777447165633,-0.5156786449988553,-0.4679179064621954,-0.1992065308613713,-0.5321583886472874,0.0019073777370874,90.3828125
-0.4912642099641409,-0.5005722133211258,0.1029221026932177,-0.6754406042572667,-0.4128328374151213,-0.5750362401770043,-0.5220874341954678,-0.4457923247119856,-0.4015411612115659,-0.3603418020904856,-0.4303807125963222,-0.5313954375524526,-0.4757000076295105,-0.2077515831235213,-0.2416266117341874,-0.3824673838406954,-0.5205615320057981,-0.40535591668574,-0.337300679026474,-0.1529716945143812,-0.354238193331807,-0.4338902876325624,-0.5367360952162963,-0.4332799267566945,-0.4522011139085981,-0.456778820477607,-0.349965667200732,-0.482413977264057,-0.4346532387273972,-0.1662470435645071,-0.4988937209124891,0.0127412832837419,90.390625
-0.4851606012054623,-0.4886701762417025,0.0705729762722213,-0.6942092011902034,-0.3908598458838784,-0.5657282368200195,-0.5190356298161285,-0.4531166552223998,-0.3919279774166472,-0.3482871747920954,-0.4264133669031811,-0.5323109788662543,-0.4752422369726096,-0.2162966353856713,-0.2660410467689017,-0.3826199740596623,-0.516899366750591,-0.3952849622339204,-0.3220416571297776,-0.1200122072175169,-0.3359273670557713,-0.4251926451514454,-0.5332265201800561,-0.4297703517204543,-0.4496070801861597,-0.4589150835431445,-0.3444724193179213,-0.47371633478294,-0.4209201190203704,-0.1332875562676428,-0.503929198138399,0.0455481803616392,90.3984375
-0.4975204089417864,-0.5107957579919123,0.0382238498512249,-0.6797131303883417,-0.422751201647974,-0.5907530327306016,-0.5303273060196838,-0.4663920042725257,-0.3955901426718543,-0.3612573434042874,-0.4320592050049588,-0.5410086213473713,-0.4767681391622793,-0.2098878461890588,-0.2944228274967571,-0.3745326924544133,-0.5133897917143507,-0.3856717784390017,-0.3080033569848169,-0.0872053101396196,-0.3197528038452731,-0.4145113298237579,-0.5356679636835275,-0.4236667429617757,-0.4445716029602498,-0.4641031509880213,-0.3318074311436633,-0.4702067597466998,-0.4291599908445864,-0.1387808041504535,-0.5193408102540624,0.0782024872205695,90.40625
-0.529259174486915,-0.5425345235370409,0.0412756542305642,-0.6893263141832605,-0.4546425574120695,-0.6224917982757302,-0.5620660715648124,-0.4859235523002971,-0.4172579537651633,-0.388570992599374,-0.4639505607690543,-0.5727473868924998,-0.5085069047074079,-0.2364385442893106,-0.3264667734798195,-0.4064240482185088,-0.5451285572594793,-0.4175631342030972,-0.3398947127489124,-0.1192492561226821,-0.3516441596093687,-0.4464026855878534,-0.5674067292286561,-0.4555580987258713,-0.4764629587243453,-0.4845502403295945,-0.3636987869077588,-0.5019455252918285,-0.461051346608682,-0.170977340352483,-0.5219348439765007,0.1108567940794999,90.4140625
-0.5609979400320435,-0.5742732890821695,0.0089265278095678,-0.7209124895094221,-0.4757000076295105,-0.6540779736018917,-0.5938048371099409,-0.5178149080643928,-0.4491493095292588,-0.4203097581445025,-0.4956893263141829,-0.6044861524376284,-0.5403982604715034,-0.2684824902723731,-0.3546959639887079,-0.4383154039826043,-0.5768673228046078,-0.4493018997482257,-0.3717860685130079,-0.1514457923247115,-0.3836881055924311,-0.478141451132982,-0.5991454947737846,-0.4872968642709998,-0.508201724269474,-0.51644159609369,-0.3955901426718543,-0.533684290836957,-0.4927901121538106,-0.2030212863355454,-0.5536736095216293,0.0785076676585035,90.421875
-0.5275806820782785,-0.5408560311284043,0.0417334248874651,-0.6873426413366899,-0.4424353398947123,-0.6206607156481266,-0.5603875791561757,-0.4843976501106275,-0.4158846417944606,-0.3871976806286713,-0.4624246585793847,-0.5710688944838632,-0.5069810025177383,-0.2353704127565419,-0.3215838864728767,-0.4050507362478061,-0.5434500648508427,-0.4160372320134275,-0.3386739909971767,-0.1184863050278473,-0.3504234378576329,-0.4448767833981837,-0.5657282368200195,-0.4540321965362016,-0.4749370565346757,-0.4831769283588918,-0.3624780651560231,-0.5004196231021588,-0.4595254444190123,-0.1700617990386812,-0.5202563515678642,0.054856183718624,90.4296875
