TimeStamp,x,y,character typing,sentence
2443.1105577,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.1271769,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.1442433,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.1605544,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.1774019,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.1936155,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.2104547,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.2271982,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.245379,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.2604514,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.2772234,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.2936558,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.3106377,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.32702,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.3441391,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.3603705,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.3772447,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.3936398,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.4105482,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.4269986,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.4439182,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.4603914,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.4770091,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.4935828,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.5103609,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.5269273,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.5452892,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.5616612,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.5769601,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.593676,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.6106402,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.6269302,-1,-1,EMPTY_ET_STREAM,MainMenu
2443.6437752,-1,-1,EMPTY_ET_STREAM,MainMenu
